content_density,contrast,edge_density,line_regularity,hw_grade,row_idx
0.3357,37.8,0.1183,1.0,8,146
0.2731,55.7,0.0578,1.0,9,147
0.3058,50.4,0.0021,1.0,8,148
0.044,26.3,0.0736,0.8,5,149
0.4761,71.3,0.1282,1.0,10,150
0.2566,71.0,0.1667,1.0,10,151
0.0801,43.3,0.0974,1.0,6,152
0.1308,73.8,0.1364,1.0,8,153
0.1296,41.6,0.0531,1.0,6,154
0.0793,24.0,0.0606,1.0,5,155
0.181,41.8,0.0635,1.0,8,156
0.1153,34.6,0.1769,1.0,6,157
0.1406,52.9,0.0772,1.0,7,158
0.4819,76.0,0.047,1.0,8,159
0.1292,52.1,0.1024,1.0,7,160
0.4051,43.6,0.0095,1.0,8,161
0.5129,58.2,0.1669,1.0,10,162
0.08,60.5,0.1013,0.9,7,163
0.0956,35.2,0.1811,1.0,7,164
0.4577,44.0,0.0669,1.0,8,165
0.3399,46.0,0.0304,1.0,8,166
0.2312,50.7,0.1351,1.0,8,167
0.1388,41.6,0.1576,1.0,7,168
0.3306,51.9,0.029,1.0,8,169
0.2018,42.0,0.146,1.0,8,170
0.2129,31.6,0.086,1.0,7,171
0.1763,55.6,0.0416,1.0,7,172
0.1623,45.4,0.0621,1.0,8,173
0.0971,34.7,0.0531,1.0,6,174
0.1447,43.3,0.0631,1.0,6,175
0.1784,50.8,0.0684,1.0,8,176
0.2015,34.3,0.1174,1.0,7,177
0.5109,56.7,0.0942,1.0,9,178
0.1671,50.5,0.153,1.0,8,179
0.2148,43.8,0.1853,1.0,8,180
0.1058,41.7,0.1824,1.0,7,181
0.3336,63.1,0.1097,1.0,9,182
0.0802,28.0,0.023,1.0,5,183
0.0775,33.1,0.149,1.0,6,184
0.0315,29.8,0.1317,0.9,6,185
0.048,48.0,0.0883,1.0,6,186
0.1301,74.4,0.1268,1.0,8,187
0.246,41.5,0.2065,1.0,8,188
0.2618,103.9,0.0559,1.0,9,189
0.202,33.9,0.0792,1.0,7,190
0.2466,36.1,0.1393,1.0,8,191
0.4235,48.6,0.0696,1.0,8,192
0.5329,39.1,0.1303,1.0,9,193
0.1504,76.1,0.1709,1.0,8,194
0.2735,52.2,0.0852,1.0,9,195
0.4552,66.0,0.0416,0.9,8,196
0.4719,68.6,0.1475,1.0,10,197
0.3378,52.7,0.0703,0.9,9,198
0.0604,23.8,0.1665,0.8,6,199
0.2207,64.8,0.1355,1.0,8,200
