content_density,contrast,edge_density,line_regularity,hw_grade,row_idx
0.174,46.7,0.0459,1.0,6,636
0.4393,32.0,0.1094,1.0,8,637
0.6076,37.2,0.1709,1.0,9,638
0.2327,38.2,0.069,1.0,8,639
0.1057,29.1,0.0265,1.0,5,640
0.1344,41.7,0.0611,1.0,6,641
0.2787,45.8,0.0922,1.0,8,642
0.4354,59.7,0.1087,1.0,9,643
0.3025,40.5,0.0663,1.0,8,644
0.1695,51.9,0.2174,1.0,9,645
0.0797,29.5,0.1143,1.0,5,646
0.2083,35.1,0.0426,1.0,6,647
0.2719,38.4,0.0605,1.0,8,648
0.0801,26.4,0.0372,1.0,5,649
0.365,66.2,0.0975,1.0,9,650
0.3614,53.4,0.2104,1.0,10,651
0.4759,55.4,0.131,1.0,10,652
0.104,39.1,0.077,0.7,6,653
0.2862,56.8,0.0918,1.0,9,654
0.3285,52.6,0.0838,1.0,9,655
0.5032,29.1,0.0103,0.8,7,656
0.1956,44.1,0.1701,1.0,8,657
0.1272,40.9,0.0699,1.0,6,658
0.3492,35.6,0.2691,1.0,10,659
0.2132,61.9,0.0748,0.5,8,660
0.1053,42.7,0.0177,1.0,6,661
0.195,35.6,0.1272,1.0,8,662
0.1565,46.3,0.2111,1.0,8,663
0.2219,59.8,0.0452,1.0,7,664
0.1896,50.1,0.1851,1.0,8,665
0.1435,28.0,0.0552,1.0,6,666
0.294,64.0,0.1454,1.0,10,667
0.2084,24.6,0.116,1.0,7,668
0.0112,19.7,0.1131,0.1,2,669
0.2029,32.9,0.1771,1.0,8,670
0.2156,57.3,0.1128,1.0,8,671
0.2497,60.2,0.0959,1.0,8,672
0.1928,62.8,0.1696,1.0,8,673
0.3081,54.3,0.1078,0.8,9,674
0.195,35.6,0.1272,1.0,8,675
0.0727,31.0,0.1104,1.0,5,676
0.1328,17.7,0.0105,0.9,4,677
0.1861,58.1,0.0824,1.0,8,678
0.0776,27.8,0.1114,1.0,5,679
0.2611,74.5,0.1803,1.0,10,680
0.4247,38.7,0.0877,1.0,8,681
0.2406,52.8,0.0837,1.0,8,682
0.1763,32.3,0.1226,1.0,8,683
0.3636,46.2,0.1384,1.0,9,684
0.1547,45.9,0.0717,1.0,8,685
0.0291,39.7,0.023,0.5,4,686
0.098,29.3,0.1066,1.0,6,687
0.2431,58.2,0.181,1.0,8,688
0.242,36.0,0.16,1.0,8,689
0.1312,35.1,0.136,1.0,7,690
0.0,0.0,0.0,0.0,1,691
0.2481,43.0,0.0587,1.0,8,692
0.5738,59.9,0.0944,1.0,9,693
0.075,27.6,0.0569,1.0,5,694
0.238,62.8,0.0308,1.0,7,695
0.3116,56.5,0.0557,1.0,9,696
0.1484,45.3,0.2007,0.9,8,697
0.2212,23.0,0.0804,1.0,7,698
0.3263,92.9,0.0827,1.0,9,699
0.1111,32.9,0.0585,1.0,6,700
0.1888,42.2,0.175,1.0,8,701
0.2236,41.3,0.1013,1.0,8,702
0.3771,49.1,0.0511,1.0,8,703
0.1888,42.2,0.175,1.0,8,704
0.3129,70.8,0.0813,1.0,9,705
0.3647,44.5,0.1757,1.0,9,706
0.2664,54.2,0.1658,1.0,10,707
0.1616,49.2,0.0548,1.0,8,708
0.3897,62.4,0.0988,1.0,9,709
0.2741,43.9,0.2174,1.0,10,710
0.9147,66.8,0.0785,1.0,9,711
0.2178,50.8,0.0672,0.9,8,712
0.2522,55.2,0.1056,1.0,9,713
0.2476,55.6,0.1715,1.0,8,714
0.2683,52.0,0.0486,1.0,8,715
0.2681,48.8,0.0477,1.0,8,716
0.1046,59.8,0.1819,1.0,8,717
0.1272,48.9,0.123,1.0,7,718
0.1767,49.4,0.1193,1.0,8,719
0.335,114.6,0.0994,1.0,9,720
0.3864,64.5,0.0551,1.0,9,721
0.0737,24.1,0.0628,1.0,5,722
0.2203,51.1,0.1887,1.0,8,723
0.0,0.0,0.0,0.0,1,724
0.1941,40.4,0.0474,1.0,6,725
0.34,32.4,0.0691,1.0,8,726
0.2363,60.1,0.0703,1.0,8,727
0.14,57.6,0.0936,1.0,7,728
0.0663,28.4,0.1457,1.0,6,729
0.0845,55.9,0.1768,1.0,8,730
0.3884,49.1,0.0607,1.0,8,731
0.0046,11.3,0.02,0.0,1,732
0.2139,49.9,0.1171,1.0,8,733
0.3781,42.8,0.1413,1.0,9,734
0.0,0.0,0.0,0.0,1,735
0.1612,38.0,0.0177,0.6,6,736
0.1625,37.6,0.2008,1.0,8,737
0.2301,47.1,0.0651,1.0,8,738
0.209,49.7,0.1755,1.0,8,739
0.0827,42.3,0.0578,1.0,6,740
0.0696,39.6,0.123,1.0,6,741
0.3953,80.1,0.0597,1.0,9,742
0.3149,73.2,0.0489,1.0,8,743
0.1203,29.1,0.1265,1.0,6,744
0.279,30.7,0.0755,1.0,8,745
0.1916,62.0,0.1337,1.0,8,746
0.4002,42.7,0.0435,1.0,8,747
0.1066,36.6,0.0161,1.0,6,748
0.2312,64.5,0.1752,1.0,8,749
0.0724,26.0,0.0369,1.0,4,750
0.2312,47.7,0.0929,1.0,8,751
0.0666,24.1,0.031,0.7,4,752
0.3778,70.1,0.1407,1.0,10,753
0.4806,34.1,0.0762,1.0,8,754
0.2484,41.3,0.0461,1.0,6,755
0.3803,62.0,0.0821,1.0,9,756
0.1334,44.6,0.0941,1.0,6,757
0.1267,39.9,0.1109,1.0,6,758
0.0877,17.6,0.0204,1.0,4,759
0.0661,41.2,0.1884,1.0,6,760
0.0199,29.0,0.0467,0.3,3,761
0.0853,35.4,0.2379,1.0,8,762
0.109,38.7,0.2318,1.0,8,763
0.2272,67.0,0.1798,1.0,8,764
0.2128,52.7,0.0788,1.0,8,765
0.0776,43.0,0.2256,1.0,6,766
0.0986,39.1,0.1595,1.0,7,767
0.0,0.0,0.0,0.0,1,768
0.3324,65.6,0.0715,1.0,9,769
0.0635,36.5,0.0592,1.0,6,770
0.1698,46.0,0.0421,1.0,6,771
0.1193,27.8,0.0371,1.0,5,772
0.4821,38.0,0.0644,1.0,8,773
0.1955,55.3,0.0498,1.0,7,774
0.0,0.0,0.0,0.0,1,775
0.2025,55.0,0.0437,1.0,7,776
0.1931,45.9,0.1971,1.0,8,777
0.3702,72.3,0.1185,1.0,9,778
0.1354,36.5,0.062,1.0,6,779
0.1176,34.9,0.0829,1.0,6,780
0.1615,48.7,0.101,1.0,8,781
0.383,57.9,0.0443,1.0,8,782
0.1218,46.8,0.0651,1.0,6,783
0.2922,42.9,0.0728,1.0,8,784
0.1488,31.8,0.0392,1.0,5,785
0.0826,36.3,0.2451,1.0,8,786
0.3409,66.6,0.1251,0.8,10,787
0.3115,63.6,0.149,1.0,10,788
0.3651,71.3,0.1054,1.0,9,789
0.2801,65.7,0.0818,1.0,9,790
0.4924,53.0,0.0485,1.0,8,791
0.2738,57.6,0.0838,1.0,9,792
0.1533,37.8,0.0575,1.0,8,793
0.0712,34.0,0.1081,1.0,5,794
0.535,84.0,0.2833,1.0,10,795
0.0671,32.3,0.0331,1.0,4,796
0.3141,73.3,0.1299,1.0,10,797
0.2282,59.5,0.081,1.0,8,798
0.2038,67.8,0.0031,1.0,7,799
0.0785,33.9,0.0712,1.0,5,800
0.2505,56.7,0.0761,1.0,9,801
0.1566,42.3,0.1919,1.0,8,802
0.1222,45.8,0.135,1.0,7,803
0.0862,34.4,0.035,1.0,5,804
0.1247,54.8,0.133,1.0,8,805
0.1359,50.2,0.0268,1.0,6,806
0.2129,55.0,0.1812,1.0,8,807
0.6529,46.2,0.0227,1.0,8,808
0.4363,54.7,0.0583,1.0,9,809
0.4547,30.9,0.0294,1.0,7,810
0.1263,25.9,0.1629,1.0,6,811
0.0375,45.7,0.0992,0.4,4,812
0.2526,60.4,0.1306,1.0,10,813
0.0921,31.4,0.1196,0.9,6,814
0.2356,56.5,0.1512,0.9,8,815
0.3121,43.7,0.1588,1.0,9,816
0.219,44.2,0.1738,1.0,8,817
0.5142,66.0,0.0354,1.0,8,818
0.2326,43.9,0.1538,0.9,8,819
0.5269,78.8,0.0386,1.0,8,820
0.3709,57.6,0.0756,1.0,9,821
0.0,0.0,0.0012,0.0,1,822
0.245,59.5,0.1332,1.0,8,823
0.3888,52.2,0.0969,1.0,9,824
0.1436,37.8,0.0108,1.0,6,825
0.3082,62.5,0.1691,1.0,10,826
0.3198,72.9,0.203,1.0,10,827
0.3086,43.3,0.1053,1.0,8,828
0.1265,38.3,0.0738,1.0,6,829
0.3086,43.3,0.1053,1.0,8,830
0.1481,35.1,0.0676,1.0,6,831
1.0,1.4,0.0038,1.0,6,832
0.135,59.7,0.1404,1.0,8,833
0.274,46.4,0.1005,1.0,8,834
0.1803,52.9,0.0537,1.0,8,835
0.1398,45.2,0.1519,1.0,7,836
0.1893,74.7,0.1225,1.0,8,837
0.3741,76.5,0.1816,1.0,10,838
0.1284,40.3,0.108,1.0,6,839
0.3176,54.2,0.0601,1.0,9,840
0.1932,43.5,0.2192,1.0,8,841
0.6465,50.9,0.0651,1.0,9,842
0.1178,45.1,0.0471,1.0,6,843
0.0995,39.6,0.1685,0.6,6,844
0.0786,68.6,0.0505,1.0,6,845
0.1119,50.0,0.0552,1.0,7,846
0.331,62.0,0.1961,1.0,10,847
1.0,2.5,0.0209,1.0,6,848
0.1418,52.8,0.0357,1.0,6,849
0.1346,35.4,0.0597,1.0,6,850
0.2023,42.4,0.0421,1.0,6,851
0.1984,46.8,0.0283,1.0,6,852
0.1479,40.5,0.1429,1.0,7,853
0.1598,42.9,0.0364,1.0,6,854
0.1955,19.0,0.0826,1.0,6,855
0.1828,55.2,0.161,1.0,8,856
0.0464,45.2,0.1256,0.8,6,857
0.2938,57.6,0.0756,1.0,9,858
0.0472,24.0,0.0723,1.0,5,859
0.1506,40.9,0.2285,1.0,8,860
0.017,14.9,0.0992,0.4,3,861
0.1594,52.1,0.0764,1.0,8,862
0.2614,47.8,0.0889,1.0,8,863
0.1974,37.8,0.1068,0.9,8,864
0.3842,62.3,0.0543,1.0,9,865
0.345,73.8,0.134,1.0,10,866
0.3998,37.6,0.1496,1.0,9,867
0.1566,42.3,0.1919,1.0,8,868
0.4006,50.3,0.0544,1.0,9,869
0.1126,38.2,0.0899,1.0,6,870
0.4212,75.7,0.143,1.0,10,871
0.326,57.0,0.1108,1.0,9,872
0.2674,78.1,0.0624,0.6,8,873
0.0601,26.1,0.1098,0.9,5,874
0.2553,56.7,0.0928,1.0,9,875
0.1604,48.6,0.0749,1.0,8,876
0.2258,60.8,0.1216,1.0,8,877
0.0,0.0,0.0,0.0,1,878
0.4642,58.6,0.036,1.0,8,879
0.1711,34.6,0.1739,1.0,8,880
0.0484,32.0,0.1546,1.0,6,881
0.2281,47.3,0.0685,1.0,8,882
0.2301,47.1,0.0651,1.0,8,883
0.1382,41.2,0.1963,1.0,7,884
0.3853,93.3,0.0981,1.0,9,885
0.0598,29.0,0.1191,0.9,5,886
0.1616,53.1,0.0659,1.0,8,887
0.8736,63.6,0.0202,1.0,8,888
0.146,57.6,0.0612,1.0,7,889
0.1213,36.5,0.0749,1.0,6,890
0.2083,50.5,0.0343,1.0,7,891
0.2657,49.1,0.0951,1.0,8,892
0.0423,34.7,0.1255,0.8,6,893
0.2772,53.4,0.2023,1.0,10,894
0.2968,54.1,0.1813,1.0,10,895
0.1663,49.4,0.0557,1.0,8,896
0.6867,55.1,0.0031,1.0,8,897
0.4412,52.7,0.1379,1.0,10,898
0.0511,40.5,0.2804,0.6,6,899
0.3584,72.0,0.1197,1.0,9,900
0.2655,100.2,0.1048,1.0,9,901
0.2672,38.6,0.1655,1.0,9,902
0.1811,55.8,0.1288,1.0,8,903
1.0,15.5,0.0004,1.0,6,904
0.077,36.1,0.0711,1.0,6,905
0.1257,43.8,0.1345,1.0,7,906
0.0549,24.6,0.1231,0.9,6,907
0.0862,57.2,0.1522,1.0,8,908
0.1897,58.9,0.186,1.0,8,909
0.4006,57.8,0.0422,1.0,8,910
0.2281,57.7,0.0725,1.0,8,911
0.2337,52.0,0.1079,1.0,8,912
0.2389,19.8,0.026,1.0,5,913
0.2039,39.3,0.0537,1.0,8,914
0.0757,36.1,0.0869,1.0,6,915
0.038,25.3,0.0828,0.9,5,916
0.0883,27.0,0.0725,1.0,6,917
0.312,60.7,0.1801,1.0,10,918
0.0146,24.7,0.0572,0.4,4,919
0.1391,40.1,0.0885,1.0,6,920
0.0423,39.8,0.1424,0.9,6,921
0.114,34.3,0.0863,1.0,6,922
0.5398,87.2,0.0552,1.0,9,923
0.244,23.6,0.0632,1.0,7,924
0.3615,51.6,0.1382,1.0,10,925
0.3824,55.3,0.0805,1.0,9,926
0.482,66.8,0.1022,1.0,9,927
0.1484,60.5,0.0187,1.0,6,928
0.1064,39.0,0.1428,1.0,7,929
0.3027,44.9,0.1161,1.0,8,930
0.4875,64.7,0.1514,1.0,10,931
0.1448,41.9,0.1857,1.0,7,932
0.1853,32.5,0.0227,1.0,6,933
0.4634,78.9,0.1227,1.0,10,934
0.4012,68.9,0.1016,1.0,9,935
0.1428,39.1,0.1499,1.0,7,936
0.5706,42.4,0.0694,1.0,8,937
0.2027,55.3,0.3085,1.0,9,938
0.2066,40.8,0.1008,1.0,8,939
1.0,3.4,0.0012,1.0,6,940
0.2438,56.6,0.2112,1.0,9,941
0.0927,47.9,0.0621,1.0,6,942
0.2609,47.8,0.0805,1.0,8,943
0.1395,34.5,0.1275,1.0,6,944
0.0645,29.2,0.0906,1.0,5,945
0.0792,34.7,0.077,1.0,5,946
0.2167,44.7,0.0641,1.0,8,947
0.6887,81.4,0.0604,1.0,9,948
0.1413,35.2,0.1394,0.8,7,949
0.1259,57.9,0.1773,1.0,8,950
0.1744,38.0,0.0788,1.0,8,951
0.1666,29.6,0.0727,0.9,7,952
0.0823,29.0,0.0389,1.0,5,953
0.0605,31.2,0.0624,1.0,5,954
0.0369,39.9,0.0641,0.9,6,955
0.1949,52.5,0.3738,1.0,9,956
0.1003,59.4,0.2283,1.0,8,957
0.3154,49.9,0.1217,1.0,9,958
0.1245,39.8,0.0834,1.0,6,959
0.1572,32.8,0.0533,1.0,7,960
